Date,Remain,Leave
2016/6/20 平均值,51,49
2016/6/19 平均值,51.5,48.5
2016/6/18 平均值,52,48
2016/6/17 平均值,50.5,49.5
2016/6/16 平均值,49,51
2016/6/15 平均值,48.66666667,51.33333333
2016/6/14 平均值,47,53
2016/6/13 平均值,47.4,52.6
2016/6/12 平均值,53,47
2016/6/10 平均值,50,50
2016/6/9 平均值,45,55
2016/6/6 平均值,51,49
2016/6/5 平均值,52,48
2016/6/3 平均值,49.5,50.5
2016/5/31 平均值,50,50
2016/5/29 平均值,49.66666667,50.33333333
2016/5/25 平均值,49,51
2016/5/24 平均值,52,48
2016/5/22 平均值,53.5,46.5
2016/5/19 平均值,52,48
2016/5/17 平均值,54,46
2016/5/16 平均值,60,40
2016/5/15 平均值,51.5,48.5
2016/5/8 平均值,49,51
2016/5/6 平均值,51,49
2016/5/3 平均值,49,51
2016/4/29 平均值,49.33333333,50.66666667
2016/4/28 平均值,52,48
2016/4/26 平均值,50.66666667,49.33333333
2016/4/24 平均值,51.5,48.5
2016/4/19 平均值,56,44
2016/4/18 平均值,56,44
2016/4/17 平均值,53,47
2016/4/14 平均值,52,48
2016/4/12 平均值,50,50
2016/4/11 平均值,50,50
2016/4/10 平均值,51,49
2016/4/7 平均值,51,49
2016/4/4 平均值,51,49
2016/4/3 平均值,52.5,47.5
2016/4/1 平均值,48,52
2016/3/29 平均值,49,51
2016/3/28 平均值,51,49
2016/3/24 平均值,51,49
2016/3/20 平均值,51.5,48.5
2016/3/19 平均值,57,43
2016/3/13 平均值,51,49
2016/3/6 平均值,49,51
2016/3/3 平均值,52,48
2016/3/2 平均值,53,47
2016/3/1 平均值,51,49
2016/2/29 平均值,50,50
2016/2/25 平均值,48,52
2016/2/23 平均值,50.5,49.5
2016/2/22 平均值,54,46
2016/2/20 平均值,59,41
2016/2/16 平均值,60,40
2016/2/15 平均值,48,52
2016/2/14 平均值,53,47
2016/2/7 平均值,49,51
2016/2/4 平均值,44,56
2016/1/28 平均值,48,53
2016/1/25 平均值,55.5,44.5
2016/1/24 平均值,60,40
2016/1/17 平均值,51,49
2016/1/16 平均值,48,53
2016/1/14 平均值,48,52
2016/1/11 平均值,54,46
2015/12/14 平均值,64,36
2015/12/13 平均值,56,44
2015/12/11 平均值,50,50
2015/12/6 平均值,52,48
2015/12/3 平均值,49,51
2015/11/24 平均值,50,50
2015/11/22 平均值,54,46
2015/11/19 平均值,48,52
2015/11/17 平均值,51,49
2015/11/15 平均值,53,47
2015/11/11 平均值,47,53
2015/11/8 平均值,55,45
2015/11/1 平均值,54,46
2015/10/25 平均值,53.5,46.5
2015/10/20 平均值,51,49
2015/10/19 平均值,59,41
2015/10/18 平均值,54,46
2015/10/12 平均值,51,49
2015/10/11 平均值,56,44
2015/10/7 平均值,53,47
2015/10/4 平均值,53,47
2015/9/28 平均值,60,40
2015/9/27 平均值,54,46
2015/9/17 平均值,49,51
2015/9/13 平均值,52,48
2015/9/4 平均值,48,52
2015/8/19 平均值,54,46
2015/7/2 平均值,63,37
2015/6/21 平均值,55,45
2015/6/16 平均值,75,25
2015/6/11 平均值,54,46
2015/6/2 平均值,55.5,44.5
2015/5/31 平均值,60,40
2015/5/22 平均值,55,45